name,value,similarity,value_rank,similarity_rank
Mn1.3Mo6S8,0.119165632,0.902785062789917,125.0,45.0
Mg1.9Ca0.1Si,0.113164591,0.8945903778076172,126.0,102.0
Sr2Ti0.8Nb0.2O4,0.108941406,0.9130913019180298,127.0,4.0
CeFe3.5Co0.5Sb12,0.10643673,0.8853917717933655,128.0,136.0
Ba0.6Sr0.4PbO3,0.105399534,0.8991075754165649,129.0,74.0
WO2.9,0.104674177,0.8994829058647156,130.0,70.0
Fe1.3Mo6S8,0.103044764,0.9034188985824585,131.0,37.0
Ba8Au5.14Si39.51,0.101322945,0.9030399322509766,132.0,40.0
CaYb0.15Mn0.85O3,0.101172463,0.8908514380455017,133.0,117.0
Ca0.9Bi0.1MnO3,0.096459952,0.9021518230438232,134.0,50.0
ZrNi1.98Cu0.02Sn,0.093139486,0.9011693596839905,135.0,59.0
Zr0.94Y0.06NiSn0.96Sb0.04,0.092641543,0.9057957530021667,136.0,20.0
Ca0.98Bi0.02Mn0.98Nb0.02O3,0.091024352,0.902250349521637,137.0,48.0
Ca3AlSb3,0.090317483,0.8364333510398865,138.0,177.0
CaMnO3,0.089158798,0.8438845276832581,139.0,174.0
Ca0.96Bi0.04Mn0.96Nb0.04O3,0.080246985,0.9030054211616516,140.0,42.0
Ca0.9Ho0.1MnO3,0.0770762,0.8990584015846252,141.0,76.0
Zn0.995Al0.005O,0.074607606,0.8661119341850281,142.0,165.0
Zn0.99Al0.01O,0.074061501,0.8987574577331543,143.0,79.0
In2O3,0.072577584,0.8692382574081421,144.0,163.0
Tl2SnTe5,0.067304238,0.8232635855674744,145.0,184.0
Li0.0242Ni0.9758O,0.063968983,0.9069615006446838,146.0,18.0
CaMn0.96Ru0.04O3,0.063883122,0.8949152231216431,147.0,97.0
Ca0.7Ho0.3MnO3,0.061941,0.9001560211181641,148.0,66.0
Fe0.978Co0.00196Si1.96Y0.04O0.06,0.060820992,0.920971691608429,149.0,2.0
WO2.722,0.059798731,0.883522629737854,150.0,142.0
Ca5Al2Sb6,0.059326794,0.817801833152771,151.0,188.0
Ba0.8Sr0.2PbO3,0.055061518,0.9034459590911865,152.0,36.0
Mg2Si0.994Bi0.006,0.051644691,0.9029222726821899,153.0,43.0
Ca0.7Tb0.3MnO3,0.0495538,0.9043704271316528,154.0,30.0
La0.95Sr0.05CoO3,0.048140749,0.879662275314331,155.0,155.0
CuCr0.97Mg0.03O2,0.047104642,0.9014763832092285,156.0,57.0
Fe1.94Ti0.06O3,0.045042023,0.8812625408172607,157.0,154.0
