name,value,similarity,value_rank,similarity_rank
ZrO2,41.54163784304031,0.726189911365509,285.0,2683.0
PtS2,41.50460479412528,0.732265055179596,286.0,2103.0
NbO2F,41.48488102324099,0.7188013792037964,287.0,3462.0
NbRu,41.39198941904965,0.7316771745681763,288.0,2149.0
Be2C,41.391944485488985,0.6584550738334656,289.0,8387.0
SrNbO2N,41.37,0.6639116406440735,290.0,8150.0
AgTaO3,41.35539859219187,0.6947274804115295,291.0,5955.0
BaS,41.32073816112349,0.7480825185775757,292.0,993.0
NiCd,41.23124813218493,0.6795654892921448,293.0,7273.0
CaSi2,41.21813951698736,0.7208765149116516,294.0,3230.0
RuO2,41.19298084206023,0.7380459904670715,295.0,1606.0
SNa,41.18794653800767,0.6939484477043152,296.0,6045.0
LiI,41.07699347896779,0.6674566268920898,297.0,7977.0
La0.5Li0.5TiO3,41.01,0.6755566000938416,298.0,7529.0
Ni3Sn,40.89733990612896,0.6368170976638794,299.0,8998.0
InN,40.888226512932576,0.5890381932258606,300.0,9393.0
CuSbS2,40.85493285346463,0.725470244884491,301.0,2745.0
UN2,40.8262228281426,0.6854917407035828,302.0,6829.0
ZnSiAs2,40.820935242056606,0.6978573799133301,303.0,5656.0
CuH,40.78410409739999,0.7282781004905701,304.0,2469.0
Ni(N2),40.77,0.7240760922431946,305.0,2878.0
ZnSb,40.74151488314522,0.6708502769470215,306.0,7806.0
Th3As4,40.63618547319121,0.7185438871383667,307.0,3495.0
FeGe,40.616808933213065,0.6921808123588562,308.0,6230.0
AuCd,40.511952741337936,0.6145178079605103,309.0,9284.0
SbRuZr,40.49324311665792,0.7478817701339722,310.0,1003.0
USn3,40.470176572450406,0.7403404116630554,311.0,1451.0
Pt3In,40.46292404342172,0.6780518889427185,312.0,7369.0
LiAlSi,40.42634308590675,0.6503974199295044,313.0,8657.0
AgInS2,40.39696016219289,0.6869441866874695,314.0,6712.0
Sn0.8Pb0.2Te,40.35,0.7177172899246216,315.0,3576.0
