name,value,similarity,value_rank,similarity_rank
TeSe2,68.95,0.8329484462738037,58.0,5670.0
Pt5Ce,68.73126158369817,0.8083612322807312,59.0,7230.0
NpGa3,68.55126630616599,0.8527377247810364,60.0,4176.0
BiSb,67.57,0.8625521063804626,61.0,3357.0
Se(Te),67.54,0.9215537309646606,62.0,343.0
AlAs,67.20273088713232,0.8748570680618286,63.0,2552.0
NiSe,66.9514557133314,0.8845363259315491,64.0,2035.0
As2Te3,66.55728910094409,0.7229470610618591,65.0,9195.0
WO3,66.39087077949627,0.9938270449638367,66.0,240.0
LiZnSb,65.98375485159667,0.8087108135223389,67.0,7214.0
AgBr,65.72068503292819,0.9999367594718933,68.0,32.0
GaP,64.69,0.999735951423645,69.0,142.0
AgBiS2,64.66187895946642,0.7536993026733398,70.0,8909.0
NaBiS2,64.37523392185093,0.7507777214050293,71.0,8945.0
AlSb,64.04377988531682,0.7988815903663635,72.0,7667.0
LaCoO3,63.8350098538861,0.8590320348739624,73.0,3641.0
BaTbO3,63.78220106917093,0.7797616124153137,74.0,8335.0
Ni2Si,63.76,0.9117808938026428,75.0,692.0
ZnO,63.58641670305606,0.8793038129806519,76.0,2314.0
CePd2Ga3,63.577371445950526,0.8156918287277222,77.0,6833.0
RbGa3,61.89363211696158,0.8238568305969238,78.0,6310.0
Fe2Tm,61.30544084126186,0.9000601172447205,79.0,1293.0
CH3COOH,60.891666860219296,0.901457667350769,80.0,1234.0
NpIn3,60.85135515174304,0.8091636300086975,81.0,7186.0
CeMg3,60.19410077302205,0.8455923795700073,82.0,4726.0
RbTe,60.15861502242907,0.8542831540107727,83.0,4035.0
PtN2,60.14601893665059,0.9089589715003967,84.0,831.0
BaTiO3,60.14132429800616,0.9862532615661621,85.0,244.0
AuMnSn,60.118911415636646,0.8368171453475952,86.0,5389.0
ErFe2,59.97598817811009,0.8604860305786133,87.0,3516.0
C,59.4207700923528,0.9997191429138184,88.0,147.0
AuCuZn2,59.37104818805978,0.7972275614738464,89.0,7729.0
La2Se4,59.36877471548651,0.8465123176574707,90.0,4657.0
LiH,58.93316503249643,0.8918594717979431,91.0,1691.0
ZrTe3,58.595546602971886,0.8199837803840637,92.0,6559.0
HoFe2,58.50497235897131,0.8214259147644043,93.0,6468.0
CuBi,58.29200486044269,0.765557050704956,94.0,8692.0
Ni2Ge,58.26,0.9351305961608887,95.0,256.0
Fe4Y2,58.054932180644165,0.8525018692016602,96.0,4190.0
AlP,58.01712685786192,0.889107346534729,97.0,1819.0
CePd2Al3,58.0154859922019,0.7946438789367676,98.0,7830.0
AgCl,57.83943833704673,0.9979386925697327,99.0,229.0
PtP2,57.58,0.8784274458885193,100.0,2362.0
Ag3Ni,57.30147148509997,0.909400463104248,101.0,806.0
Li3Bi,57.24297805229613,0.852867603302002,102.0,4166.0
LiMgP,57.06358174583378,0.8474501967430115,103.0,4577.0
DyFe2,56.85483257411721,0.8182681798934937,104.0,6666.0
V3Si,56.83165740785984,0.8951455950737,105.0,1529.0
ZrSe3,56.51668594490605,0.8677518367767334,106.0,3009.0
TlI,56.136002493146975,0.887866199016571,107.0,1883.0
NiS2,55.96640234968604,0.8889258503913879,108.0,1826.0
PuTe,55.67474377123562,0.8844859004020691,109.0,2038.0
CeIrIn5,55.43311800256572,0.8517067432403564,110.0,4243.0
LiInSe2,55.25927821319354,0.7365428805351257,111.0,9099.0
SnI2,55.0,0.8592063188552856,112.0,3630.0
BaThO3,54.983140822351714,0.7162613868713379,113.0,9228.0
SnSb2Te4,54.88,0.8297701478004456,114.0,5897.0
TbFe2,54.85703407988954,0.7695316672325134,115.0,8597.0
LiB,54.776199281962725,0.8611811399459839,116.0,3474.0
ZnNi,54.70286349843372,0.8792544603347778,117.0,2319.0
HgI,54.67177888626411,0.8890337944030762,118.0,1821.0
PuIn3,54.66457937571096,0.8277469873428345,119.0,6030.0
I,54.62690038462512,0.9997472167015076,120.0,139.0
PtCe,54.41009575048604,0.8378972411155701,121.0,5296.0
EuSb2,54.31658511398752,0.7841378450393677,122.0,8216.0
GeSe,54.30560192442179,0.8246800303459167,123.0,6248.0
IrTi,54.0156050966449,0.8965461254119873,124.0,1462.0
Mg3Hg,54.01260971612117,0.7423845529556274,125.0,9049.0
BAs,53.90703594177657,0.9209809899330139,126.0,360.0
Li3Sb,53.89903459035477,0.8980309963226318,127.0,1388.0
TePt,53.89789616445093,0.828874945640564,128.0,5959.0
ThPtSn,53.77417299532404,0.8189058303833008,129.0,6629.0
NaNbO3,53.67708236458061,0.864758312702179,130.0,3202.0
CeIr2B2C,53.658604938862936,0.8139403462409973,131.0,6929.0
SrZnBi2,53.63683425336712,0.6970239281654358,132.0,9317.0
Nb(O),53.50352560136457,0.9260129332542419,133.0,291.0
BeO,53.46236086820885,0.9090693593025208,134.0,823.0
Al2O3,53.449770876007086,0.9999280571937561,135.0,47.0
LaAgSb2,52.59254002430581,0.8079020380973816,136.0,7246.0
BaZn2Sn2,52.56061709649249,0.6960826516151428,137.0,9321.0
HgO,52.35102155992558,0.8849268555641174,138.0,2015.0
Nd2O2Te,52.19373071478185,0.7998074293136597,139.0,7633.0
silicon,52.13066236304972,0.9950948357582092,140.0,238.0
